Disease,Foods_to_Eat,Foods_to_Avoid,Sample_Day_Plan
Actinic Keratosis,"Foods rich in vitamin E and C, nuts, seeds, leafy greens, anti-inflammatory foods.","Spicy foods, dairy (if sensitive), high sugar, fried foods.","Breakfast: Smoothie with greens.
Lunch: Veg bowl with seeds.
Dinner: Soup + steamed veggies."
Acute Bronchiolitis,"Warm soups, herbal teas, ginger, turmeric, honey, fruits rich in vitamin C, leafy greens.","Cold drinks, dairy (if it increases mucus), fried foods, sugary foods.","Breakfast: Ginger tea + fruit.
Lunch: Vegetable soup + whole grains.
Dinner: Steamed veggies + lean protein."
Acute Bronchitis,"Warm soups, herbal teas, ginger, turmeric, honey, fruits rich in vitamin C, leafy greens.","Cold drinks, dairy (if it increases mucus), fried foods, sugary foods.","Breakfast: Ginger tea + fruit.
Lunch: Vegetable soup + whole grains.
Dinner: Steamed veggies + lean protein."
Acute Bronchospasm,"Hydrating foods, soups, fruits, probiotics, garlic, ginger.","Fried foods, spicy foods, sugar, processed foods.","Breakfast: Warm tea + fruit.
Lunch: Soup + rice.
Dinner: Steamed vegetables."
Acute Kidney Injury,"Low-sodium foods, apples, berries, cabbage, cauliflower, rice, refined grains (low potassium).","High-potassium foods (bananas, oranges), high-phosphorus foods, processed food, red meat.","Breakfast: Low-sodium porridge.
Lunch: Rice + low-potassium veggies.
Dinner: Grilled chicken + cabbage."
Acute Pancreatitis,"Soft, bland, low‑fiber foods: bananas, toast, rice, boiled vegetables.","Spicy foods, high fat, caffeine, alcohol, raw veggies.","Breakfast: Toast + banana.
Lunch: Rice + boiled veggies.
Dinner: Clear soup."
Acute Sinusitis,"Warm soups, herbal teas, ginger, turmeric, honey, fruits rich in vitamin C, leafy greens.","Cold drinks, dairy (if it increases mucus), fried foods, sugary foods.","Breakfast: Ginger tea + fruit.
Lunch: Vegetable soup + whole grains.
Dinner: Steamed veggies + lean protein."
Allergy,"Hydrating foods, soups, fruits, probiotics, garlic, ginger.","Fried foods, spicy foods, sugar, processed foods.","Breakfast: Warm tea + fruit.
Lunch: Soup + rice.
Dinner: Steamed vegetables."
Angina,"Oats, fruits, vegetables, nuts, seeds, olive oil, omega‑3 rich foods.","Fried foods, red meat, high-salt foods, butter, packaged snacks.","Breakfast: Oatmeal + fruits.
Lunch: Salad + grilled fish.
Dinner: Steamed vegetables + whole grains."
Anxiety,"Omega3 foods, nuts, seeds, whole grains, dark chocolate, fruits.","Caffeine excess, sugar, alcohol, processed foods.","Breakfast: Nuts + fruit.
Lunch: Whole‑grain bowl.
Dinner: Veggies + lean protein."
